,Project Name,ID,URL,Reviewer,Problem type (qualitative),Intervention methodology,Mission Alignment,Equity & Inclusion,Evidence & Innovation,Potential Impact,Feasibility,Risk & Groundbreaking,Design Quality,Weighted Score,Normalised Scores by Rater,Notes,Do I think it is cool?,Do I have higher level of knowledge about it?,,
,Public Media Stack,12,https://publicmediastack.com,Richard,"Accessibility – Challenges related to inclusive participation and tool usability., ""Communication Inefficiency – Gaps in effective communication, especially for civic engagement.""",Other,2,4,2,2,3,2,4,2.7,-0.89,List of recommendations for software for media orgs,3,3,,
,Quadratic Vote,13,https://quadraticvote.radicalxchange.org,Tristan,Coordination Challenges – Failures or difficulties in collaboration and collective action.,"""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems""""""",2,3,3,2,4,2,2,2.55,-1.17,Limited. Requires set up to fully test voting. ,,,,
,Radicle,14,https://radicle.xyz,Tristan,Other – Any additional challenges not fitting into the defined categories above.,"""""""Resilient Infrastructure Development Mechanism: Building anti-fragile institutional systems Problem Targets: - Centralised platform risks - Data silos - Energy grid vulnerabilities Exemplar Projects: - Federated data architectures - Community renewable grids - Decentralised identity systems""""""",2,2,3,2,3,3,3,2.45,-1.35,Requires technical knowledge. GIT add-on.,,,,
,Beckton,15,https://richardpope.org/blog/2017/03/05/beckton-a-tool-to-build-groups-of-paying-members,Tristan,Coordination Challenges – Failures or difficulties in collaboration and collective action.,"""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems""""""",4,4,4,4,4,3,3,3.8,1.13,simple Union pledge tool. Seems useful. ,,,,
,RiseUp,16,https://riseup.net,Tristan,"""Digital Divide – Unequal access to technology, education, and opportunities.""","""""""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """"""",3,4,2,3,2,2,1,2.65,-0.99,"Suite of custom comms tools, like wiki, webmail",,,,
,See3,17,https://see3.xyz,Tristan,Disinformation – Misinformation spread and media manipulation challenges.,"""""""Resilient Infrastructure Development Mechanism: Building anti-fragile institutional systems Problem Targets: - Centralised platform risks - Data silos - Energy grid vulnerabilities Exemplar Projects: - Federated data architectures - Community renewable grids - Decentralised identity systems"""""", """"""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,3,4,4,4,4,4,3.8,1.13,Verifiable Media,,,,
,Share Your Paper,18,https://shareyourpaper.org,Tristan,"""Access to Information – Barriers to obtaining, sharing, or utilizing information.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,4,4,5,3,4,3,3.95,1.40,Academic paper Open Access,,,,
,Snowdrift,19,https://snowdrift.coop,Tristan,Accessibility – Challenges related to inclusive participation and tool usability.,"""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems"""""", """"""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """"""",3,3,3,3,3,3,3,3,-0.34,I don't understand this one. Crowdmatching for public goods??,,,,
,Soweego,20,https://soweego.readthedocs.io,Tristan,"""Data Access and Quality – Problems with obtaining, managing, and analyzing data.""","""""""Resilient Infrastructure Development Mechanism: Building anti-fragile institutional systems Problem Targets: - Centralised platform risks - Data silos - Energy grid vulnerabilities Exemplar Projects: - Federated data architectures - Community renewable grids - Decentralised identity systems""""""",3,3,2,4,3,2,3,2.9,-0.53,connect Wikidata to big catalogs,,,,
,Spacetube,21,https://spacetu.be,Tristan,"""Communication Inefficiency – Gaps in effective communication, especially for civic engagement.""","""""""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """"""",4,4,2,3,3,1,2,2.95,-0.43,group-to-group chat tool built on top of Matrix,,,,
,Spartacus,22,https://spartacus.app,Tristan,"""Inefficient Services – Failures in service delivery, resource allocation, and decision-making.""","""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems""""""",5,4,2,2,4,3,3,3.4,0.39,"""Kickstarter"" for Collective Action.",,,,
,Open Standards for Data,23,https://standards.theodi.org,Tristan,"""Data Access and Quality – Problems with obtaining, managing, and analyzing data.""","""""""Normative Framework Transformation Mechanism: Shifting legal/ethical paradigms Problem Targets: - Outdated regulations - AI ethics gaps - Digital rights violations Exemplar Projects: - Strategic litigation campaigns - Ethical tech certification - Cultural narrative initiatives""""""",4,4,4,4,3,2,3,3.6,0.76,open data standards. Useful for sharing.,,,,
,Strikemap,24,https://strikemap.org,Simon,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Communication Inefficiency – Gaps in effective communication, especially for civic engagement."", Coordination Challenges – Failures or difficulties in collaboration and collective action.","""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems"""""", """"""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """"""",5,4,2,3,3,2,3,3.35,0.04,Maps strikes that are happening. Seems to be only UK,,,,
,The Circuit,25,https://thecircuit.cc,Simon,"Access to Justice – Issues around equitable legal rights and consumer rights., ""Access to Information – Barriers to obtaining, sharing, or utilizing information."", AI and Bias – Discrimination and transparency issues in AI systems., ""Data Access and Quality – Problems with obtaining, managing, and analyzing data."", ""Economic Inequality – Barriers to fair compensation, inclusive employment, and economic sustainability."", ""Governance and Accountability – Challenges in leadership, transparency, and resource allocation.""","""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """""", """"""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",5,4,4,3,3,3,4,3.85,0.91,Data analysis of 20 years of Chicago criminal trials,,,,
,The Government Says,26,https://thegovernmentsays.com,Simon,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Data Access and Quality – Problems with obtaining, managing, and analyzing data.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,2,1,2,3,2,2,2.35,-1.70,"Kinda like google alerts, but niche for government",,,,
,The Transparency in Supply Chains Platform,27,https://tiscreport.org,Simon,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Governance and Accountability – Challenges in leadership, transparency, and resource allocation.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,2,3,3,4,2,2,2.9,-0.75,"Transparency report, tracks companies compliance",,,,
,Political Ad Trends,28,https://trends.whotargets.me,Simon,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Governance and Accountability – Challenges in leadership, transparency, and resource allocation.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives"""""", """"""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """"""",4,3,3,3,4,3,3,3.3,-0.05,Track political party spending on ads globally,,,,
,Troubling AI,29,https://troubling-ai.glitch.me,Simon,Information Asymmetry – Imbalances in access to information leading to inefficiencies.,"""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems"""""", Other",3,4,2,2,2,2,2,2.6,-1.27,A form to submit 'troubling' AI incidents,,,,
,Turbo Phonebank,30,https://turbophonebank.com,Simon,"""Data Access and Quality – Problems with obtaining, managing, and analyzing data."", ""Communication Inefficiency – Gaps in effective communication, especially for civic engagement.""","""""""Structural Rebalancing Interventions Mechanism: Redistributing power/resources through alternative systems Problem Targets: - Economic inequality - Housing injustice - Labor exploitation Exemplar Projects: - Community land trusts - Worker-owned cooperatives - Mutual aid networks"""""", """"""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """"""",4,3,3,3,3,3,4,3.3,-0.05,"Connect to Google Sheets to speed up human phone calling, followup texts, etc for canvassing",,,,
,Turkopticon,31,https://turkopticon.ucsd.edu,Simon,"AI and Bias – Discrimination and transparency issues in AI systems., Accessibility – Challenges related to inclusive participation and tool usability., Access to Justice – Issues around equitable legal rights and consumer rights., Coordination Challenges – Failures or difficulties in collaboration and collective action.","""""""Structural Rebalancing Interventions Mechanism: Redistributing power/resources through alternative systems Problem Targets: - Economic inequality - Housing injustice - Labor exploitation Exemplar Projects: - Community land trusts - Worker-owned cooperatives - Mutual aid networks"""""", """"""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems""""""",4,5,4,3,3,3,3,3.75,0.74,"Reputation/rating aggregator for Amazon Mechanic Turk workers, founded by Six Silberman",,,,
,Vframe,32,https://vframe.io,Simon,"Coordination Challenges – Failures or difficulties in collaboration and collective action., ""Human Rights – Violations, accountability, and abuses in various contexts.""","""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """""", Other",4,4,3,4,3,3,4,3.65,0.56,computer vision technologies for analyzing conflict zone media eg identify unexploded bombs,,,,
,Violation Tracker,33,https://violationtrackeruk.goodjobsfirst.org,Simon,"Access to Justice – Issues around equitable legal rights and consumer rights., ""Access to Information – Barriers to obtaining, sharing, or utilizing information.""","""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """""", """"""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,3,3,3,3,3,3,3.2,-0.22,Tracks UK company violations,,,,
,Internet Archive,34,https://web.archive.org,Simon,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Knowledge Gaps – Deficits in resources, education, or research in crucial sectors.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives"""""", """"""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """""", """"""Structural Rebalancing Interventions Mechanism: Redistributing power/resources through alternative systems Problem Targets: - Economic inequality - Housing injustice - Labor exploitation Exemplar Projects: - Community land trusts - Worker-owned cooperatives - Mutual aid networks""""""",5,5,5,4,4,3,3,4.35,1.78,"Attempts to archive the whole web, with version history",,,,
,Be My Eyes,35,https://www.bemyeyes.com,Paulina,Accessibility – Challenges related to inclusive participation and tool usability.,"""""""Structural Rebalancing Interventions Mechanism: Redistributing power/resources through alternative systems Problem Targets: - Economic inequality - Housing injustice - Labor exploitation Exemplar Projects: - Community land trusts - Worker-owned cooperatives - Mutual aid networks""""""",4,5,5,5,5,5,5,4.8,1.29,Connecting people with blind and low vision users to assist them real time using Meta AR glasses and AI,5,2,,
,Crowdjustice,36,https://www.crowdjustice.com,Paulina,Access to Justice – Issues around equitable legal rights and consumer rights.,"""""""Structural Rebalancing Interventions Mechanism: Redistributing power/resources through alternative systems Problem Targets: - Economic inequality - Housing injustice - Labor exploitation Exemplar Projects: - Community land trusts - Worker-owned cooperatives - Mutual aid networks""""""",5,5,4,5,5,3,3,4.45,0.84,Kickstarter for justice action,5,3,,
,Wikum,37,https://www.csail.mit.edu/research/wikum-bridging-discussion-systems-and-wikis-collective-summarization,Paulina,"""Communication Inefficiency – Gaps in effective communication, especially for civic engagement.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,3,2,2,2,2,1,2.5,-1.68,Summariser for big groups - main page doesn't work,1,2,,
,Guide to Major Trusts,38,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,Paulina,Information Asymmetry – Imbalances in access to information leading to inefficiencies.,"""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,4,3,3,3,1,1,3,-1.03,A book with a list of funders,1,3,,
,Fix My Street,39,https://www.fixmystreet.com,Paulina,"Coordination Challenges – Failures or difficulties in collaboration and collective action., ""Inefficient Services – Failures in service delivery, resource allocation, and decision-making.""","""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems""""""",5,4,4,5,5,4,4,4.45,0.84,A page to upload problems on your street,5,4,,
,GovTrack,40,https://www.govtrack.us,Paulina,"""Governance and Accountability – Challenges in leadership, transparency, and resource allocation.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",5,4,3,3,4,3,4,3.8,0.00,Helps be on top of US congress bills,3,3,,
,Notify,41,https://www.notifications.service.gov.uk,Paulina,"""Communication Inefficiency – Gaps in effective communication, especially for civic engagement.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,3,4,4,5,2,3,3.6,-0.26,messaging system that helps public sector organisations to communicate efficiently with citizens and service users,3,2,,
,Open Origins,42,https://www.openorigins.com,Paulina,AI and Bias – Discrimination and transparency issues in AI systems.,"""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """"""",5,5,5,5,4,4,4,4.7,1.16,"helps you know if content is AI generated using blockchain, has 4.5M in funding",5,4,,
,Oporaua,43,https://www.oporaua.org,Paulina,Access to Justice – Issues around equitable legal rights and consumer rights.,"""""""Normative Framework Transformation Mechanism: Shifting legal/ethical paradigms Problem Targets: - Outdated regulations - AI ethics gaps - Digital rights violations Exemplar Projects: - Strategic litigation campaigns - Ethical tech certification - Cultural narrative initiatives""""""",5,4,4,4,4,3,3,4,0.26,"Ukrainian NGO dedicated to promoting democracy, monitoring elections, and civic engagement",3,1,,
,Organise,44,https://www.organise.org.uk,Paulina,Coordination Challenges – Failures or difficulties in collaboration and collective action.,"""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems""""""",5,4,3,4,3,2,3,3.65,-0.19,"an aggregator of worker issues where people can submit questions, share and upvote - unclear on next steps",4,1,,
,Otree,45,https://www.otree.org,Paulina,"""Knowledge Gaps – Deficits in resources, education, or research in crucial sectors.""","""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems""""""",4,3,3,2,3,2,2,2.85,-1.23,,,,,
,Papertree,46,https://www.papertree.earth,YH,"Coordination Challenges – Failures or difficulties in collaboration and collective action., ""Inefficient Services – Failures in service delivery, resource allocation, and decision-making.""","""""""Participatory Infrastructure Development Mechanism: Building inclusive decision-making architectures Problem Targets: - Democratic participation gaps - Citizen exclusion - Consultation accessibility Exemplar Projects: - Deliberative democracy platforms - Participatory budgeting tools - Community-led planning systems"""""", """"""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """"""",4,2,3,3,3,3,3,3,-0.65,Improve money coordination for teams,,,,
,Parallel Parliament,47,https://www.parallelparliament.co.uk,YH,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Governance and Accountability – Challenges in leadership, transparency, and resource allocation."", ""Inefficient Services – Failures in service delivery, resource allocation, and decision-making.""","""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """"""",4,3,1,2,4,1,3,2.65,-1.27,"Showing bills, meetings, and transcripts from the parliamentary processes",,,,
,They Work For You,48,https://www.theyworkforyou.com,YH,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Inefficient Services – Failures in service delivery, resource allocation, and decision-making."", Information Asymmetry – Imbalances in access to information leading to inefficiencies.","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",5,2,2,3,4,2,3,3.05,-0.56,Easy tool to help people find who represent them at different levels of governance,,,,
,Tor,49,https://www.torproject.org,YH,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Privacy Violations – Breaches of privacy, data protection, and personal rights.""","""""""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """""", """"""Structural Rebalancing Interventions Mechanism: Redistributing power/resources through alternative systems Problem Targets: - Economic inequality - Housing injustice - Labor exploitation Exemplar Projects: - Community land trusts - Worker-owned cooperatives - Mutual aid networks"""""", """"""Resilient Infrastructure Development Mechanism: Building anti-fragile institutional systems Problem Targets: - Centralised platform risks - Data silos - Energy grid vulnerabilities Exemplar Projects: - Federated data architectures - Community renewable grids - Decentralised identity systems""""""",5,3,5,5,4,4,4,4.3,1.65,"Tor, hmm, is Tor. ",,,,
,What Do They Know,50,https://www.whatdotheyknow.com,YH,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Data Access and Quality – Problems with obtaining, managing, and analyzing data."", Information Asymmetry – Imbalances in access to information leading to inefficiencies., ""Knowledge Gaps – Deficits in resources, education, or research in crucial sectors.""","""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """""", """"""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",5,2,4,5,4,3,4,3.85,0.85,Help people get information from governments easily (FOIL) and share such info,,,,
